permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at
/organization/jacent-technologies,Jacent Technologies,http://www.jacent.com,Software,13700000,closed,USA,CA,SF Bay Area,Santa Clara,2,2001-01-01,2005-06-15,2007-03-19
/organization/jack-s-family-restaurants,Jack's Family Restaurants,http://www.eatatjacks.com/,Restaurants,-,closed,USA,AL,Birmingham,Birmingham,1,,2015-05-25,2015-05-25
/organization/jackpot-rewards,JackPot Rewards,http://www.jackpotrewards.com,Curated Web|Gambling,16700000,closed,USA,MA,Boston,Newton,1,2008-01-01,2008-02-01,2008-02-01
/organization/jacobad-pte-ltd,JacobAd Pte. Ltd.,http://kusulife.com,Coupons|Curated Web|Lifestyle|Loyalty Programs|Online Shopping|Travel,38000,closed,SGP,,Singapore,Singapore,1,,2010-05-01,2010-05-01
/organization/jag-ag,Jag.ag,http://jag.ag,Mobile,-,closed,ISR,,,,1,,2008-01-01,2008-01-01
/organization/jakks-pacific,Jakks Pacific,http://jakks.com,E-Commerce,75000000,closed,USA,CA,Los Angeles,Malibu,1,1995-01-01,2014-03-31,2014-03-31
/organization/jamglue,Jamglue,http://www.jamglue.com,Communities|Music|Musicians,-,closed,USA,WA,Seattle,Seattle,1,2006-05-01,2006-05-01,2006-05-01
/organization/jarkas-lab-limited,Jarkas Lab Limited,,,-,closed,,,,,1,,2015-08-17,2015-08-17
/organization/javajobs,JavaJobs,http://www.javajobs.com,Enterprises|Software,50000,closed,USA,AR,Little Rock,Little Rock,1,1997-01-01,2006-10-01,2006-10-01
/organization/jazz-blues-television-2,Jazz & Blues Television,http://www.jazzandblues.tv,,-,closed,,,,,1,2010-11-18,2015-10-30,2015-10-30
/organization/jazzd-markets,JazzD Markets,http://jazzdphone.com,Messaging,8000000,closed,USA,PA,Harrisburg,Ephrata,1,,2008-06-01,2008-06-01
/organization/jellycloud,JellyCloud,http://venturebeat.com/2008/10/06/controversial-ad-company-jellycloud-shuts-down-citing-industry-consolidation/,Advertising|Analytics,6600000,closed,USA,CA,SF Bay Area,Redwood City,1,,2008-05-16,2008-05-16
/organization/jenacell,JeNaCell,http://www.jenacell.com/en/,Nanotechnology,907900,closed,DEU,15,Jena,Jena,2,2012-01-01,2012-10-12,2015-07-12
/organization/jentro-technologies,Jentro Technologies,http://www.jentro.com,Mobile,29000000,closed,DEU,2,Munich,Munich,1,2003-01-01,2007-06-21,2007-06-21
/organization/jesterdigital,JesterDigital,,Application Platforms|Development Platforms|Virtual Worlds,6800000,closed,,,,,1,,2001-01-24,2001-01-24
/organization/jetaport,Jetaport,http://jetaport.com,Online Travel|Travel,3788905,closed,USA,NY,New York City,New York,3,2012-06-01,2012-06-04,2015-08-11
/organization/jiguo-com,JiGuo.com,http://www.jiguo.com/,E-Commerce|Wearables,-,closed,CHN,22,Beijing,Beijing,2,2014-09-01,2014-09-01,2015-09-15
/organization/jinggamall-com,JinggaMall.com,http://jinggamall.com,E-Commerce|Online Shopping,500000,closed,IDN,4,Jakarta,Jakarta,1,2012-11-10,2012-11-01,2012-11-01
/organization/jini,Jini,http://www.jini.co,Android|Big Data|Mobile|Sensors,733615,closed,BEL,1,Antwerp,Antwerp,2,2011-01-01,2011-01-01,2012-04-01
/organization/jinkosolar-holding,JinkoSolar Holding,http://www.jinkosolar.com/en/index.php,Clean Technology,260000000,closed,,,,,2,2006-01-01,2008-10-13,2014-07-30
/organization/jinsheng-group,Jinsheng Group,,Real Estate,60000000,closed,CHN,4,Nanjing,Nanjing,1,,2007-02-05,2007-02-05
/organization/jiwu-吉屋网,Jiwu 吉屋网,http://www.jiwu.com,Real Estate,16795568.9707963,closed,,,,,2,2014-04-14,2011-09-06,2015-05-02
/organization/job-pact,Job Pact,http://www.jobpact.com,,-,closed,,,,,1,2014-04-01,2015-02-01,2015-02-01
/organization/jobcast-2,JobCast,http://www.jobcast.io,,-,closed,USA,IL,Chicago,Chicago,1,2015-08-20,2015-06-01,2015-06-01
/organization/jobcast-io,JobCast.io,http://www.jobcast.io,Portals|Recruiting|Social Recruiting,10000,closed,USA,IL,Chicago,Chicago,1,2015-08-01,2015-07-12,2015-07-12
/organization/jobrivet,Jobrivet,https://www.jobrivet.com,Employment|Human Resources|Portals|Services,1535000,closed,USA,CA,"Orange County, California",Mission Viejo,3,2013-11-01,2014-05-01,2015-05-26
/organization/jobs-made-easy,Jobs Made Easy,https://www.jobsmeplatform.com,Construction|Real Estate,35000,closed,USA,CA,SF Bay Area,Newark,1,2015-05-28,2015-05-28,2015-05-28
/organization/jobscrush,JobsCrush,http://www.jobscrush.com/,Employment|Services|Social Media,30000,closed,IRL,7,Dublin,Dublin,1,2014-11-30,2014-11-29,2014-11-29
/organization/jobsyndicate,JobSyndicate,http://www.jobsyndicate.com/About/Overview.aspx,Consulting|Recruiting,-,closed,,,,,1,,2008-01-01,2008-01-01
/organization/jobulous,Jobulous,http://www.Jobulous.com,Career Management|Consulting|Employment|Human Resources|Office Space,200000,closed,USA,NY,New York City,New York,1,2008-07-10,2008-08-01,2008-08-01
/organization/jobzle,Jobzle,http://www.jobzle.com,All Students|Career Management|College Campuses|Colleges|Employment|Human Resources,30000,closed,USA,RI,Providence,Providence,2,2010-06-01,2008-09-01,2010-06-01
/organization/jodange,Jodange,http://www.jodange.com,Curated Web,1200000,closed,USA,NY,New York City,Yonkers,1,2007-01-01,2009-04-27,2009-04-27
/organization/jodel,Jodel,http://www.jodel-app.com,Social + Mobile + Local,-,closed,,,,,1,2014-08-01,2014-08-01,2014-08-01
/organization/jogli,Jogli,http://www.jogli.com,Music,950000,closed,ISR,5,Tel Aviv,Tel Aviv,2,2007-01-01,2007-03-01,2008-05-01
/organization/johtela-company,Johtela Company,http://www.johtela-company.fi/EN/index.html,Games|Web Development,-,closed,,,,,1,2013-04-01,2015-06-01,2015-06-01
/organization/join-the-company,Join The Company,http://jointhecompany.com,Curated Web,900000,closed,USA,DC,"Washington, D.C.",Washington,1,2010-01-01,2010-04-09,2010-04-09
/organization/jolie-2,Jolie,,,25000,closed,,,,,1,,2015-07-01,2015-07-01
/organization/jolt-4,Jolt,http://www.meetjolt.com,,-,closed,,,,,1,2015-01-01,2015-09-15,2015-09-15
/organization/jones-stephens,Jones Stephens,http://www.jonesstephens.com/,Manufacturing,35000000,closed,USA,AL,Birmingham,Moody,1,1993-01-01,2003-11-07,2003-11-07
/organization/jooce,Jooce,http://jooce.com,Curated Web|WebOS,-,closed,FRA,A8,Paris,Paris,1,,2007-08-01,2007-08-01
/organization/joongel,Joongel,http://www.joongel.com,Browser Extensions|Search,100000,closed,ISR,5,Tel Aviv,Ramat Hasharon,1,2007-01-01,2008-10-27,2008-10-27
/organization/jordan-training-technology-group,Jordan Training Technology Group,http://www.rubicon.com.jo,Software,-,closed,JOR,16,Amman,Amman,1,,2009-10-05,2009-10-05
/organization/jotky,Jotky,http://jotky.com,Media|Social Media,500000,closed,IDN,4,Jakarta,Jakarta,1,2010-10-10,2012-11-02,2012-11-02
/organization/jotvine-com,Jotvine.com,http://www.jotvine.com,Social Media,9500,closed,AUS,2,Sydney,Sydney,1,2011-03-11,2011-02-03,2011-02-03
/organization/joukuu,EVERFANS,http://www.everfans.com,File Sharing|Mobile,50000,closed,SGP,,Singapore,Singapore,1,2012-10-01,2010-06-01,2010-06-01
/organization/jounce,Jounce,http://jounce.com,Enterprise Software,600000,closed,USA,UT,Salt Lake City,Salt Lake City,1,2009-11-13,2010-05-10,2010-05-10
/organization/journey,Journey,http://experiencejourney.com,Travel & Tourism,25000,closed,USA,CA,SF Bay Area,San Francisco,1,,2014-02-06,2014-02-06
/organization/journeys,Journeys,http://www.codename-journeys.com,Curated Web|Travel|Virtual Worlds,600000,closed,ISR,5,Tel Aviv,Tel Aviv,1,2007-05-01,2007-05-01,2007-05-01
/organization/joxko,Joxko,http://www.joxko.com/,,-,closed,,,,,1,,2012-01-24,2012-01-24
/organization/joyflips-inc,"JoyFLIPS, Inc.",http://JoyFLIPS.com,,-,closed,USA,CA,SF Bay Area,San Francisco,2,2013-01-09,2014-04-04,2014-04-04
/organization/joylux,Joylux,http://joyluxinc.com/,Consumer Electronics|Health and Wellness|Therapeutics,3000000,closed,,,,,1,,2015-09-22,2015-09-22
/organization/joyride,JOYRIDE Auto Community,http://www.joyride.com,Automotive|Social Commerce|Social Media|Social Network Media,1000000,closed,USA,AZ,Phoenix,Phoenix,1,2009-10-30,2010-10-26,2010-10-26
/organization/jtt-computer,JTT Computer,,,-,closed,,,,,1,,1999-01-01,1999-01-01
/organization/jubilater-interactive-media,Jubilater Interactive Media,http://jubilater.com,Curated Web,9940,closed,,,,,1,2010-12-01,2010-12-15,2010-12-15
/organization/jucebox-limited,JUCEBOX Limited,http://www.jucebox.co,Internet of Things|Services,-,closed,NZL,E7,Auckland,Auckland,1,2014-04-01,2015-10-01,2015-10-01
/organization/judge-me,judge.me,http://judge.me,Legal,40000,closed,,,,,1,,2011-11-03,2011-11-03
/organization/juice-in-the-city,Juice In The City,http://juiceinthecity.com,Curated Web|Parenting,6000000,closed,USA,CA,SF Bay Area,San Mateo,1,2010-01-01,2011-06-02,2011-06-02
/organization/juicero,Juicero,http://juicero.com/,Service Providers|Startups,89881830,closed,,,,,3,,2013-10-01,2014-12-23
/organization/julius-finance,Julius Finance,http://www.juliusfinance.com/,Finance|Services|Startups,1000000,closed,,,,,1,,2008-07-17,2008-07-17
/organization/jumo,Jumo,http://www.jumo.com,Charity|Humanitarian|Social Media|Social Network Media,3500000,closed,USA,NY,New York City,New York,2,2010-02-01,2010-11-01,2015-11-11
/organization/jumptheclub,JumpTheClub,http://www.jumptheclub.com,Apps|Augmented Reality|Mobile|Music|Nightlife|Software|Startups,100000,closed,USA,CT,Hartford,Hartford,1,2010-07-01,2011-02-10,2011-02-10
/organization/june-blackbox,June Blackbox,,Technology,3449997,closed,USA,CA,SF Bay Area,San Jose,1,2011-01-01,2014-04-28,2014-04-28
/organization/junkbot-inc,Junkbot Inc,http://www.junkbot.co/,Assisitive Technology|DIY|Education|Hardware + Software|Information Technology|Robotics,30000,closed,,,,,1,2014-09-18,2014-08-10,2014-08-10
/organization/jurispect,Jurispect,http://jurispect.com/,Analytics|SaaS|Software,300000,closed,,,,,1,2013-01-01,2015-03-25,2015-03-25
/organization/jurny-the-core-values-matching-platform,Jurny - The Core Values Matching Platform,http://www.jurny.co,B2B|Small and Medium Businesses,50000,closed,AUS,2,Sydney,Sydney,1,2014-12-01,2015-01-14,2015-01-14
/organization/just,JUST,http://justbetter.com/,Clean Technology,-,closed,,,,,1,,2014-07-01,2014-07-01
/organization/just-around-us,Just around Us,http://justaroundus.com,Location Based Services|Music|Networking|Social Media|Sports,210000,closed,FRA,A8,Paris,Paris,1,2011-07-01,2011-11-08,2011-11-08
/organization/just-dial,Just Dial,http://www.justdial.com,Local Search|Search,67000000,closed,IND,16,Mumbai,Mumbai,2,1997-11-14,2011-06-06,2012-06-27
/organization/justyle,Justyle,http://justyle.org,Fashion,-,closed,,,,,1,,2011-01-01,2011-01-01
/organization/juupstore,Juupstore,http://Juupstore.pl,,-,closed,,,,,1,,2012-01-01,2012-01-01
/organization/juvonex,Juvonex,,Privacy,100000,closed,KOR,11,Seoul,Seoul,1,2015-02-24,2015-02-28,2015-02-28
/organization/k2-media,K2 Media,http://www.k2medialabs.com,Finance,7500000,closed,USA,NY,New York City,New York,1,,2012-03-15,2012-03-15
/organization/kada-systems,Kada Systems,http://www.kadasystems.com,Mobile Devices,2600000,closed,USA,MA,Boston,Burlington,1,,2002-11-12,2002-11-12
/organization/kadi,KADI,http://www.kadi.ch/,Consumers,-,closed,,,,,1,,2013-06-17,2013-06-17
/organization/kadoink,Kadoink,http://www.kadoink.com,Audio|Mobile|Music|SMS|Web Tools,9500000,closed,USA,CA,SF Bay Area,San Francisco,2,,2008-01-01,2008-01-01
/organization/kahub,Kahub,http://www.kahub.com,News|Social Media,8000,closed,,,,,1,2011-02-10,2011-02-12,2011-02-12
/organization/kai-square,KAI Square,http://www.kaisquare.com/,Software,3200000,closed,SGP,,Singapore,Singapore,1,2006-01-01,2014-04-24,2014-04-24
/organization/kainoa,Kainoa,http://getkainoa.com/,Internet|Mobile Devices|Services,1000000,closed,,,,,1,2015-07-10,2015-06-10,2015-06-10
/organization/kaixindai,Kaixindai,https://www.gkkxd.com/cms/aboutKxd/index.html,Consumer Lending|Financial Services|P2P Money Transfer,34000000,closed,,,,,1,2011-01-01,2015-09-30,2015-09-30
/organization/kakkstati,KakKstati,http://kakkstati.ru,Advertising|Optimization|Services,20000,closed,,,,,1,,2013-04-01,2013-04-01
/organization/kallikids,Kallikids,http://www.kallikids.com/,Kids|Parenting|Services,175000,closed,GBR,E2,London,Brighton,1,,2015-04-14,2015-04-14
/organization/kalologie,Kalologie,http://kalologie.com/,,2200000,closed,,,,,1,,2006-11-15,2006-11-15
/organization/kambit,Kambit,,Software,-,closed,USA,TX,Austin,Cedar Park,2,2011-09-22,2012-02-28,2012-08-15
/organization/kango-com,Kango.com,http://www.kango.com,Reviews and Recommendations|Services|Travel & Tourism,3950000,closed,USA,CA,SF Bay Area,Palo Alto,1,,2008-07-02,2008-07-02
/organization/kaos-solutions,Kaos Solutions,http://www.kaos-solutions.co.uk,Software,199000,closed,GBR,L9,Sheffield,Sheffield,1,2007-01-01,2008-01-01,2008-01-01
/organization/kappa-prime,Kappa Prime,http://www.kappaprime.com,Collaboration|Curated Web|Life Sciences,-,closed,GBR,H9,London,London,1,2008-02-01,2008-06-01,2008-06-01
/organization/kardia-health-systems,Kardia Health Systems,http://www.kardiahealth.com,Health Care|Information Technology|SaaS|Software,18916000,closed,USA,MN,Minneapolis,Minneapolis,3,2006-01-01,2007-01-01,2009-08-20
/organization/karhoo,Karhoo,http://karhoo.com/,Apps|Maps|Mobile,250000000,closed,,,,,1,,2015-10-25,2015-10-25
/organization/karo-internet,Karo Internet,http://www.xchar.de,Online Gaming|Social Media|Social Network Media,1204795,closed,DEU,7,Cologne,Cologne,3,2007-04-01,2007-05-10,2008-05-30
/organization/kashless,Kashless,http://www.kashless.org,E-Commerce|Finance|Personal Finance|Recycling,9000000,closed,USA,WA,Seattle,Seattle,2,2008-09-01,2008-10-29,2011-02-04
/organization/kasita,Kasita,,Architecture|Construction|Design,645000,closed,USA,TX,Austin,Austin,1,,2015-09-15,2015-09-15
